HBondDonors	HBondAcceptors	MolecularWeight	LogP	TPSA	HydrophobicContacts	ClosestPolarContact	RotatableBonds
4	5	407.56199999999956	2.5573000000000015	78.34	268	2.503585127372345	11
4	5	407.56199999999956	2.5573000000000015	78.34	272	2.4717611858753665	11
4	5	407.56199999999956	2.5573000000000015	78.34	236	2.67293901164991	11
4	5	407.56199999999956	2.5573000000000015	78.34	255	2.451639651335409	11
4	5	407.56199999999956	2.5573000000000015	78.34	255	2.09517924054244	11
4	5	407.56199999999956	2.5573000000000015	78.34	274	2.1726531108301663	11
4	5	407.56199999999956	2.5573000000000015	78.34	270	2.1601780227564578	11
4	5	407.56199999999956	2.5573000000000015	78.34	282	2.5269537451247506	11
4	5	407.56199999999956	2.5573000000000015	78.34	281	2.6432807701793615	11
4	5	407.56199999999956	2.5573000000000015	78.34	327	2.028903166738128	11
4	5	407.56199999999956	2.5573000000000015	78.34	216	2.813174073888781	11
4	5	407.56199999999956	2.5573000000000015	78.34	284	2.6055756926253357	11
4	5	407.56199999999956	2.5573000000000015	78.34	271	2.4886203045060933	11
4	5	407.56199999999956	2.5573000000000015	78.34	244	2.310749510440281	11
4	5	407.56199999999956	2.5573000000000015	78.34	252	2.721938452647304	11
4	5	407.56199999999956	2.5573000000000015	78.34	265	2.72826640378098	11
4	5	407.56199999999956	2.5573000000000015	78.34	246	2.4654883045757887	11
4	5	407.56199999999956	2.5573000000000015	78.34	249	2.4893610967475164	11
4	5	407.56199999999956	2.5573000000000015	78.34	268	2.903143625451554	11
4	5	407.56199999999956	2.5573000000000015	78.34	270	2.5081933019605964	11
4	5	407.56199999999956	2.5573000000000015	78.34	263	2.64187311012471	11
4	5	407.56199999999956	2.5573000000000015	78.34	267	2.5053700784514845	11
4	5	407.56199999999956	2.5573000000000015	78.34	259	2.427103922373329	11
4	5	407.56199999999956	2.5573000000000015	78.34	270	2.6696214675492853	11
4	5	407.56199999999956	2.5573000000000015	78.34	218	2.78962034872131	11
4	5	407.56199999999956	2.5573000000000015	78.34	273	2.51698139246201	11
4	5	407.56199999999956	2.5573000000000015	78.34	238	1.9227112341690837	11
4	5	407.56199999999956	2.5573000000000015	78.34	283	2.502766685090721	11
4	5	407.56199999999956	2.5573000000000015	78.34	258	2.470117476963393	11
4	5	407.56199999999956	2.5573000000000015	78.34	173	2.9213818613799867	11
4	5	407.56199999999956	2.5573000000000015	78.34	286	2.456878084073363	11
4	5	407.56199999999956	2.5573000000000015	78.34	263	2.301042570227678	11
4	5	407.56199999999956	2.5573000000000015	78.34	232	2.6793879692944813	11
4	5	407.56199999999956	2.5573000000000015	78.34	188	2.1136904622011237	11
4	5	407.56199999999956	2.5573000000000015	78.34	278	2.0639734567091708	11
4	5	407.56199999999956	2.5573000000000015	78.34	265	2.31235719126609	11
4	5	407.56199999999956	2.5573000000000015	78.34	269	2.489780140895978	11
4	5	407.56199999999956	2.5573000000000015	78.34	275	2.3889540200681965	11
4	5	407.56199999999956	2.5573000000000015	78.34	286	2.2024170268139494	11
4	5	407.56199999999956	2.5573000000000015	78.34	235	2.4717618716211316	11
4	5	407.56199999999956	2.5573000000000015	78.34	260	2.234195116815002	11
4	5	407.56199999999956	2.5573000000000015	78.34	245	2.682907523564687	11
4	5	407.56199999999956	2.5573000000000015	78.34	203	2.8053227372265037	11
4	5	407.56199999999956	2.5573000000000015	78.34	249	3.484866879810475	11
4	5	407.56199999999956	2.5573000000000015	78.34	183	2.4289809015305157	11
4	5	407.56199999999956	2.5573000000000015	78.34	261	2.35558852943378	11
4	5	407.56199999999956	2.5573000000000015	78.34	242	2.1721181620712993	11
4	5	407.56199999999956	2.5573000000000015	78.34	221	2.2673712929293255	11
4	5	407.56199999999956	2.5573000000000015	78.34	179	2.2964982233827222	11
4	5	407.56199999999956	2.5573000000000015	78.34	180	2.111698676421425	11
4	5	407.56199999999956	2.5573000000000015	78.34	297	2.9086739899823773	11
4	5	407.56199999999956	2.5573000000000015	78.34	267	3.1477507159875286	11
4	5	407.56199999999956	2.5573000000000015	78.34	258	2.4267389826678922	11
4	5	407.56199999999956	2.5573000000000015	78.34	229	2.6310597370641364	11
4	5	407.56199999999956	2.5573000000000015	78.34	207	2.479172995173996	11
4	5	407.56199999999956	2.5573000000000015	78.34	221	2.3607233340652183	11
4	5	407.56199999999956	2.5573000000000015	78.34	163	2.8177468835933435	11
4	5	407.56199999999956	2.5573000000000015	78.34	297	2.5692975615914952	11
4	5	407.56199999999956	2.5573000000000015	78.34	149	2.5322091481550255	11
4	5	407.56199999999956	2.5573000000000015	78.34	223	2.2002601118958642	11
4	5	407.56199999999956	2.5573000000000015	78.34	199	2.0817179780171955	11
4	5	407.56199999999956	2.5573000000000015	78.34	239	2.575619104215528	11
4	5	407.56199999999956	2.5573000000000015	78.34	284	2.8063491069359134	11
4	5	407.56199999999956	2.5573000000000015	78.34	226	1.9364371613868596	11
4	5	407.56199999999956	2.5573000000000015	78.34	248	2.59285038905063	11
4	5	407.56199999999956	2.5573000000000015	78.34	146	2.6488998659821013	11
4	5	407.56199999999956	2.5573000000000015	78.34	202	2.6206021350063806	11
4	5	407.56199999999956	2.5573000000000015	78.34	111	2.410441571579781	11
